"municipality_code","year","total_cases","total_population","incidence_per_100k"
353440,2019,1,690640,0.145
353440,2021,1,690640,0.145
353440,2024,1,690640,0.145
353460,2019,2,31876,6.274
353560,2018,1,17744,5.636
353560,2024,1,17744,5.636
353620,2018,1,18825,5.312
353620,2019,3,18825,15.936
353650,2017,3,81684,3.673
353650,2019,1,81684,1.224
353650,2023,1,81684,1.224
353710,2018,2,42567,4.698
353720,2018,5,10401,48.072
353760,2018,6,60859,9.859
353760,2024,1,60859,1.643
353780,2018,9,53637,16.779
353800,2018,6,150156,3.996
353860,2018,26,25814,100.721
353870,2018,5,372014,1.344
353870,2019,3,372014,0.806
353870,2024,1,372014,0.269
353980,2017,1,109728,0.911
353980,2018,2,109728,1.823
353980,2019,1,109728,0.911
354060,2018,2,49880,4.01
354100,2018,1,264140,0.379
354260,2019,4,55746,7.175
354280,2019,2,3417,58.531
354330,2018,5,117055,4.271
354340,2016,2,619385,0.323
354340,2017,1,619385,0.161
354340,2019,1,619385,0.161
354340,2020,4,619385,0.646
354340,2021,5,619385,0.807
354340,2023,3,619385,0.484
354340,2024,1,619385,0.161
354390,2020,2,191794,1.043
354410,2019,1,45231,2.211
354500,2018,1,15916,6.283
354510,2019,1,4892,20.442
354515,2018,2,7113,28.118
354520,2017,1,107043,0.934
354520,2018,1,107043,0.934
354530,2018,1,41129,2.431
354640,2017,2,45084,4.436
354680,2018,7,51628,13.559
354680,2019,1,51628,1.937
354730,2017,5,108799,4.596
354730,2018,2,108799,1.838
354730,2022,1,108799,0.919
354750,2018,1,27451,3.643
354780,2017,2,698225,0.286
354780,2018,14,698225,2.005
354780,2019,1,698225,0.143
354780,2024,1,698225,0.143
354780,2025,2,NA,NA
354800,2018,1,20838,4.799
354850,2018,4,433619,0.922
354850,2019,1,433619,0.231
354850,2021,3,433619,0.692
354860,2018,4,10657,37.534
354870,2017,3,792772,0.378
354870,2018,24,792772,3.027
354880,2017,6,153014,3.921
354880,2018,9,153014,5.882
354880,2023,2,153014,1.307
354890,2018,1,227292,0.44
354890,2019,3,227292,1.32
354910,2017,5,85287,5.863
354910,2018,1,85287,1.173
354910,2023,1,85287,1.173
354970,2023,1,53322,1.875
354980,2019,2,414926,0.482
354980,2020,6,414926,1.446
354980,2021,8,414926,1.928
354990,2017,2,648139,0.309
354990,2018,33,648139,5.092
354990,2019,3,648139,0.463
354995,2018,1,14158,7.063
355000,2018,3,10625,28.235
355020,2018,2,32494,6.155
355030,2016,7,11723372,0.06
355030,2017,76,11723372,0.648
355030,2018,658,11723372,5.613
355030,2019,110,11723372,0.938
355030,2020,12,11723372,0.102
355030,2021,10,11723372,0.085
355030,2022,3,11723372,0.026
355030,2023,1,11723372,0.009
355030,2024,10,11723372,0.085
355030,2025,5,NA,NA
355060,2018,3,80774,3.714
355070,2018,6,75186,7.98
355090,2021,1,14692,6.806
355100,2018,4,343430,1.165
355100,2021,1,343430,0.291
355100,2023,1,343430,0.291
355100,2024,1,343430,0.291
355160,2019,4,26933,14.852
355160,2024,2,26933,7.426
355180,2019,3,13377,22.427
355180,2020,1,13377,7.476
355200,2018,1,5885,16.992
355210,2017,1,37542,2.664
355210,2024,2,37542,5.327
355220,2017,1,598350,0.167
355220,2018,11,598350,1.838
355220,2019,2,598350,0.334
355220,2020,1,598350,0.167
355240,2018,1,245156,0.408
355240,2019,2,245156,0.816
355250,2018,1,268886,0.372
355250,2021,1,268886,0.372
355280,2018,3,251012,1.195
355280,2021,1,251012,0.398
355280,2024,1,251012,0.398
355300,2024,1,10804,9.256
355330,2018,10,22923,43.624
355400,2018,1,109539,0.913
355410,2018,16,285034,5.613
355410,2019,3,285034,1.053
355450,2018,1,37792,2.646
355450,2021,1,37792,2.646
355480,2018,1,41697,2.398
355495,2017,3,5995,50.042
355500,2019,1,65296,1.531
355540,2017,4,79823,5.011
355540,2018,10,79823,12.528
355620,2017,1,108363,0.923
355620,2018,17,108363,15.688
355620,2019,1,108363,0.923
355640,2023,2,40357,4.956
355645,2018,1,43657,2.291
355650,2017,1,109931,0.91
355650,2018,5,109931,4.548
355670,2018,3,64201,4.673
355700,2019,4,110812,3.61
410010,2019,2,7888,25.355
410020,2019,2,6511,30.717
410040,2019,1,105574,0.947
410040,2023,1,105574,0.947
410120,2019,4,19233,20.798
410140,2017,1,123658,0.809
410140,2018,1,123658,0.809
410150,2015,5,106010,4.717
410150,2017,1,106010,0.943
410150,2024,1,106010,0.943
410180,2021,1,120960,0.827
410180,2023,1,120960,0.827
410240,2019,1,33066,3.024
410345,2023,1,14712,6.797
410347,2020,1,4370,22.883
410400,2019,2,39597,5.051
410400,2024,1,39597,2.525
410410,2023,2,7208,27.747
410420,2019,4,114332,3.499
410450,2019,3,18801,15.957
410465,2019,1,19335,5.172
410480,2019,1,291223,0.343
410480,2022,1,291223,0.343
410480,2023,1,291223,0.343
410490,2019,1,68575,1.458
410530,2022,1,11192,8.935
410540,2018,1,20030,4.993
410580,2017,1,218523,0.458
410580,2024,1,218523,0.458
410620,2019,3,16039,18.704
410690,2017,7,1807867,0.387
410690,2018,11,1807867,0.608
410690,2019,37,1807867,2.047
410690,2020,1,1807867,0.055
410690,2022,4,1807867,0.221
410690,2024,4,1807867,0.221
410720,2018,1,36791,2.718
410830,2019,1,264304,0.378
410830,2021,1,264304,0.378
410940,2020,2,171872,1.164
410940,2022,1,171872,0.582
410960,2019,3,32718,9.169
411020,2023,1,11081,9.024
411150,2020,1,32696,3.058
411370,2013,3,519370,0.578
411370,2014,3,519370,0.578
411370,2018,2,519370,0.385
411370,2020,1,519370,0.193
411410,2018,1,20075,4.981
411460,2018,1,47508,2.105
411460,2022,2,47508,4.21
411500,2017,4,6971,57.381
411500,2019,1,6971,14.345
411500,2020,1,6971,14.345
411520,2013,1,361450,0.277
411570,2019,3,29888,10.037
411620,2019,2,15972,12.522
411760,2022,1,43642,2.291
411780,2020,1,15092,6.626
411820,2018,1,143744,0.696
411820,2019,9,143744,6.261
411820,2020,2,143744,1.391
411840,2024,1,83177,1.202
411915,2018,1,120156,0.832
411915,2019,3,120156,2.497
411915,2023,1,120156,0.832
411915,2024,5,120156,4.161
411920,2019,1,6337,15.78
411960,2024,2,33694,5.936
411970,2023,1,4138,24.166
411990,2017,1,318095,0.314
411995,2022,3,20964,14.31
412050,2024,2,11017,18.154
412080,2019,3,20094,14.93
412080,2020,1,20094,4.977
412090,2019,1,31207,3.204
412110,2020,1,5193,19.257
412230,2021,1,31978,3.127
412350,2020,1,23678,4.223
412350,2022,2,23678,8.447
412350,2023,1,23678,4.223
412390,2023,1,12625,7.921
412510,2021,1,13892,7.198
412520,2022,2,9253,21.615
412550,2018,2,268981,0.744
412550,2019,22,268981,8.179
412660,2023,1,18648,5.363
420020,2021,1,9448,10.584
420060,2021,3,5625,53.333
420110,2021,1,3263,30.647
420130,2019,2,24735,8.086
420200,2020,1,109936,0.91
420230,2019,1,59399,1.684
420240,2019,5,316161,1.581
420240,2020,10,316161,3.163
420240,2021,1,316161,0.316
420240,2023,2,316161,0.633
420240,2024,1,316161,0.316
420360,2018,1,33497,2.985
420480,2019,1,38563,2.593
420540,2018,1,430853,0.232
420540,2019,1,430853,0.232
420540,2021,1,430853,0.232
420550,2023,1,35130,2.847
420590,2018,2,59042,3.387
420600,2019,1,13259,7.542
420750,2020,4,55598,7.195
420810,2019,2,20619,9.7
420820,2021,1,187477,0.533
420820,2022,1,187477,0.533
420890,2020,2,146021,1.37
420890,2021,2,146021,1.37
420910,2018,5,529481,0.944
420910,2019,5,529481,0.944
420910,2020,2,529481,0.378
420910,2021,1,529481,0.189
420910,2024,3,529481,0.567
421010,2017,1,54022,1.851
421010,2023,1,54022,1.851
421050,2020,1,22416,4.461
421160,2019,1,13459,7.43
421190,2019,4,139507,2.867
421190,2021,2,139507,1.434
421190,2024,1,139507,0.717
421220,2023,1,18309,5.462
421320,2020,4,28318,14.125
421480,2020,1,62501,1.6
421567,2024,1,8764,11.41
421570,2018,1,20128,4.968
421580,2018,1,76516,1.307
421580,2020,3,76516,3.921
421590,2021,1,3020,33.113
421660,2019,4,215374,1.857
421740,2019,1,15356,6.512
421780,2019,2,17487,11.437
421780,2021,1,17487,5.719
430110,2016,1,13736,7.28
430210,2018,2,104272,1.918
430222,2016,2,2485,80.483
430370,2018,2,6270,31.898
430420,2017,2,30842,6.485
430440,2019,2,38901,5.141
430460,2014,1,328046,0.305
430510,2015,1,438964,0.228
430510,2018,5,438964,1.139
430510,2020,1,438964,0.228
430680,2018,1,20497,4.879
430850,2019,1,28865,3.464
430880,2017,1,8660,11.547
430910,2018,2,32121,6.226
430920,2017,1,260467,0.384
431100,2018,1,28699,3.484
431410,2016,1,186417,0.536
431410,2024,1,186417,0.536
431440,2019,1,335102,0.298
431490,2015,2,1456196,0.137
431490,2017,1,1456196,0.069
431490,2018,15,1456196,1.03
431490,2019,1,1456196,0.069
431600,2023,5,19486,25.659
431600,2024,6,19486,30.791
431680,2015,1,118980,0.84
431725,2023,1,1767,56.593
431870,2018,4,218253,1.833
431950,2018,2,23212,8.616
431990,2012,1,73995,1.351
431990,2018,1,73995,1.351
432000,2015,3,133687,2.244
432160,2019,1,40872,2.447
432260,2021,2,66682,2.999
432300,2023,1,247221,0.404
500020,2019,1,12967,7.712
500210,2015,1,23610,4.235
500270,2012,4,804796,0.497
500270,2014,1,804796,0.124
500270,2015,1,804796,0.124
500270,2018,1,804796,0.124
500270,2019,1,804796,0.124
500270,2020,4,804796,0.497
500320,2010,1,105982,0.944
500375,2017,2,11863,16.859
500460,2014,1,18792,5.321
500570,2023,1,47129,2.122
500740,2015,1,19421,5.149
500740,2020,2,19421,10.298
510170,2019,1,31622,3.162
510170,2023,2,31622,6.325
510263,2018,1,27862,3.589
510335,2019,2,25456,7.857
510335,2020,1,25456,3.928
510340,2015,2,571065,0.35
510410,2013,1,32962,3.034
510410,2018,1,32962,3.034
510510,2022,1,33818,2.957
510515,2020,4,40717,9.824
510525,2021,1,45529,2.196
510558,2021,1,12355,8.094
510619,2021,7,3544,197.517
510675,2023,1,42433,2.357
510704,2018,2,53198,3.76
510792,2019,2,66605,3.003
510795,2023,1,85616,1.168
510830,2020,1,3858,25.92
510890,2019,1,6426,15.562
520030,2015,3,24310,12.341
520090,2017,3,3664,81.878
520140,2015,2,469363,0.426
520140,2016,4,469363,0.852
520330,2015,2,24971,8.009
520420,2015,1,1439,69.493
520455,2015,1,3432,29.138
520545,2014,1,7722,12.95
520620,2021,1,47510,2.105
520735,2015,1,3822,26.164
520870,2013,1,1360468,0.074
520870,2014,1,1360468,0.074
520870,2015,7,1360468,0.515
520870,2016,5,1360468,0.368
520870,2017,2,1360468,0.147
520970,2015,1,17566,5.693
521020,2017,1,32434,3.083
521523,2022,1,98272,1.018
521530,2015,2,14615,13.685
521570,2021,1,23869,4.19
521730,2021,1,23575,4.242
521839,2014,1,3476,28.769
521839,2015,8,3476,230.15
521860,2015,1,10807,9.253
521878,2015,4,3316,120.627
521920,2016,1,3218,31.075
521973,2015,1,4763,20.995
522010,2016,5,30945,16.158
522045,2015,1,84989,1.177
522045,2016,1,84989,1.177
530010,2015,2,2643977,0.076
530010,2017,6,2643977,0.227
530010,2021,1,2643977,0.038
530010,2022,1,2643977,0.038
530010,2023,3,2643977,0.113
530010,2025,1,NA,NA
539918,2022,1,NA,NA
